State,Year,Rape,Kidnapping and Abduction,Dowry Death,Assault on Women,Outrage women Modesty,Domestic Violence,Women Trafficking,Total_Crimes
MAHARASHTRA,2002,1352,650,303,2686,769,5353,0,11113
MANIPUR,2002,14,82,0,58,0,10,0,164
MEGHALAYA,2002,38,10,0,23,0,0,0,71
MIZORAM,2002,76,2,0,73,0,3,0,154
NAGALAND,2002,17,4,0,1,0,0,0,22
ODISHA,2002,691,432,248,1605,188,1167,0,4331
PUNJAB,2002,299,354,166,341,145,944,0,2249
RAJASTHAN,2002,1051,2019,399,2730,44,5691,0,11934
SIKKIM,2002,6,2,0,17,0,3,0,28
TAMIL NADU,2002,534,714,243,1877,1718,1052,0,6138
TRIPURA,2002,108,48,16,128,0,236,0,536
UTTAR PRADESH,2002,1415,2298,1893,2145,1887,5679,0,15317
UTTARAKHAND,2002,89,155,66,145,97,316,1,869
WEST BENGAL,2002,759,694,273,964,34,4069,1,6794
ANDAMAN & NICOBAR ISLANDS,2002,2,1,0,17,3,4,0,27
CHANDIGARH,2002,18,47,1,36,28,56,0,186
DADRA & NAGAR HAVELI,2002,4,5,0,3,0,3,0,15
DAMAN AND DIU,2002,0,2,0,0,0,3,0,5
LAKSHADWEEP,2002,1,0,0,1,0,0,0,2
PUDUCHERRY,2002,6,6,5,59,26,9,0,111
ANDHRA PRADESH,2003,946,931,466,4128,2286,8167,5,16929
ARUNACHAL PRADESH,2003,31,51,0,43,0,14,0,139
ASSAM,2003,1095,1351,60,878,6,1808,0,5198
BIHAR,2003,985,674,909,688,11,1880,37,5184
CHHATTISGARH,2003,898,149,79,1481,105,601,0,3313
GOA,2003,31,13,2,19,7,24,0,96
GUJARAT,2003,236,859,54,722,92,3684,0,5647
HARYANA,2003,353,271,222,344,1302,1618,0,4110
HIMACHAL PRADESH,2003,126,96,6,250,18,221,0,717
JAMMU & KASHMIR,2003,211,615,10,875,376,71,0,2158
JHARKHAND,2003,712,262,262,424,2,559,0,2221
KARNATAKA,2003,321,244,194,1585,84,1704,0,4132
KERALA,2003,394,102,33,1947,68,2930,0,5474
MADHYA PRADESH,2003,2738,608,648,6848,705,2938,0,14485
MAHARASHTRA,2003,1268,626,368,2661,682,5452,0,11057
MANIPUR,2003,18,71,0,44,0,4,0,137
MEGHALAYA,2003,40,10,0,13,1,4,0,68
MIZORAM,2003,54,2,0,88,0,3,0,147
NAGALAND,2003,14,3,0,4,2,0,1,24
ODISHA,2003,725,373,279,1669,188,1289,0,4523
PUNJAB,2003,380,295,110,346,199,987,0,2317
RAJASTHAN,2003,1050,1750,389,2715,33,5733,1,11671
SIKKIM,2003,10,0,0,25,0,1,0,36
TAMIL NADU,2003,557,632,220,2022,881,1555,1,5868
TRIPURA,2003,114,29,20,127,0,247,0,537
UTTAR PRADESH,2003,911,1499,1322,1098,4970,2626,0,12426
UTTARAKHAND,2003,107,134,93,136,98,317,0,885
WEST BENGAL,2003,1002,801,329,1186,71,4948,1,8338
ANDAMAN & NICOBAR ISLANDS,2003,2,2,0,9,2,7,0,22
CHANDIGARH,2003,18,28,1,11,4,93,0,155
DADRA & NAGAR HAVELI,2003,1,4,0,4,0,2,0,11
DAMAN AND DIU,2003,5,1,1,3,0,0,0,10
LAKSHADWEEP,2003,2,0,0,1,0,1,0,4
PUDUCHERRY,2003,2,13,1,56,27,4,0,103
ANDHRA PRADESH,2004,1016,1030,512,3817,2310,8388,2,17075
ARUNACHAL PRADESH,2004,42,41,0,61,0,4,0,148
ASSAM,2004,1171,1552,74,883,11,1945,0,5636
BIHAR,2004,1390,997,1029,704,13,2679,35,6847
CHHATTISGARH,2004,969,174,71,1661,131,741,0,3747
GOA,2004,37,10,2,23,15,17,0,104
GUJARAT,2004,339,905,58,757,164,3955,0,6178
HARYANA,2004,386,292,251,403,850,2026,0,4208
HIMACHAL PRADESH,2004,153,99,8,284,16,252,0,812
JAMMU & KASHMIR,2004,218,632,9,990,264,82,0,2195
JHARKHAND,2004,797,178,275,411,3,588,36,2288
KARNATAKA,2004,291,286,259,1435,57,1588,0,3916
KERALA,2004,480,142,31,2260,133,3222,0,6268
MADHYA PRADESH,2004,2875,584,751,6690,804,3436,0,15140
MAHARASHTRA,2004,1388,787,314,2831,862,5646,0,11828
MANIPUR,2004,31,71,0,30,0,2,0,134
MEGHALAYA,2004,54,18,2,34,0,5,0,113
MIZORAM,2004,20,0,0,66,0,0,0,86
NAGALAND,2004,18,4,0,3,1,0,0,26
ODISHA,2004,770,423,319,1811,170,1192,0,4685
PUNJAB,2004,390,311,113,261,38,801,0,1914
RAJASTHAN,2004,1038,1881,379,2825,41,6781,1,12946
SIKKIM,2004,3,4,0,40,0,1,0,48
TAMIL NADU,2004,618,692,225,1861,1081,1437,0,5914
TRIPURA,2004,160,54,20,134,0,302,0,670
UTTAR PRADESH,2004,1397,2324,1708,1900,2682,4950,3,14964
UTTARAKHAND,2004,115,127,82,143,110,405,0,982
WEST BENGAL,2004,1475,1018,396,1566,64,6334,12,10865
ANDAMAN & NICOBAR ISLANDS,2004,10,3,0,6,3,5,0,27
CHANDIGARH,2004,19,43,6,20,18,73,0,179
DADRA & NAGAR HAVELI,2004,7,7,0,5,0,3,0,22
DAMAN AND DIU,2004,1,0,0,1,0,4,0,6
LAKSHADWEEP,2004,0,0,0,0,0,1,0,1
PUDUCHERRY,2004,4,8,6,50,30,2,0,100
ANDHRA PRADESH,2005,935,995,443,3595,2508,8696,3,17175
ARUNACHAL PRADESH,2005,35,39,0,67,0,9,0,150
ASSAM,2005,1238,1456,99,899,19,2206,3,5920
BIHAR,2005,1147,929,1014,451,13,1574,74,5202
CHHATTISGARH,2005,990,184,100,1450,132,732,0,3588
GOA,2005,20,12,2,30,8,11,0,83
GUJARAT,2005,324,916,48,802,104,4090,0,6284
HARYANA,2005,461,344,212,380,597,2075,0,4069
HIMACHAL PRADESH,2005,141,102,2,286,29,228,0,788
JAMMU & KASHMIR,2005,201,658,5,830,371,76,0,2141
JHARKHAND,2005,753,283,257,293,36,590,4,2216
KARNATAKA,2005,343,312,261,1585,71,1883,0,4455
KERALA,2005,478,129,21,2339,175,3283,0,6425
MADHYA PRADESH,2005,2921,604,739,6426,792,2989,3,14474
MAHARASHTRA,2005,1545,851,341,3228,919,6233,0,13117
MANIPUR,2005,25,69,0,25,0,20,0,139
MEGHALAYA,2005,63,19,1,44,0,3,0,130
MIZORAM,2005,37,0,4,49,4,0,0,94
NAGALAND,2005,17,9,0,7,0,0,0,33
ODISHA,2005,799,547,334,2238,184,1671,0,5773
PUNJAB,2005,398,329,99,308,43,729,0,1906
RAJASTHAN,2005,993,1549,361,2503,28,5997,0,11431
SIKKIM,2005,18,2,0,38,0,4,0,62
TAMIL NADU,2005,571,783,215,1764,665,1650,0,5648
TRIPURA,2005,162,43,34,161,1,439,0,840
UTTAR PRADESH,2005,1217,2256,1564,1835,2881,4505,0,14258
UTTARAKHAND,2005,133,125,63,100,89,272,0,782
WEST BENGAL,2005,1686,1039,446,1572,54,6936,61,11794
ANDAMAN & NICOBAR ISLANDS,2005,4,1,0,11,1,5,0,22
CHANDIGARH,2005,33,45,3,31,9,75,0,196
DADRA & NAGAR HAVELI,2005,5,9,0,5,0,5,0,24
DAMAN AND DIU,2005,2,2,1,1,0,3,0,9
LAKSHADWEEP,2005,0,0,0,0,0,0,0,0
PUDUCHERRY,2005,6,3,4,60,26,6,0,105
ANDHRA PRADESH,2006,1049,1329,519,4534,2411,9164,0,19006
ARUNACHAL PRADESH,2006,37,51,1,63,2,14,0,168
ASSAM,2006,1244,1544,105,1290,10,2548,0,6741
BIHAR,2006,1232,1084,1188,530,53,1689,42,5818
CHHATTISGARH,2006,995,178,103,1598,143,717,1,3735
GOA,2006,21,10,0,18,7,14,0,70
GUJARAT,2006,354,945,50,736,138,4977,0,7200
HARYANA,2006,608,431,255,486,491,2254,0,4525
HIMACHAL PRADESH,2006,113,109,3,275,31,259,0,790
JAMMU & KASHMIR,2006,250,723,10,960,347,135,0,2425
JHARKHAND,2006,799,410,281,414,44,668,5,2621
KARNATAKA,2006,400,328,244,1683,38,2129,0,4822
KERALA,2006,601,202,25,2543,222,3708,0,7301
MADHYA PRADESH,2006,2900,617,764,6243,762,2989,0,14275
MAHARASHTRA,2006,1500,921,387,3479,984,6738,1,14010
MANIPUR,2006,40,79,0,42,0,10,0,171
MEGHALAYA,2006,74,25,6,57,0,13,0,175
MIZORAM,2006,72,1,0,51,0,1,0,125
NAGALAND,2006,23,3,0,3,2,3,0,34
ODISHA,2006,985,577,457,2415,247,694,12,5387
PUNJAB,2006,442,418,130,314,60,801,2,2167
RAJASTHAN,2006,1085,1553,394,2582,31,7038,3,12686
SIKKIM,2006,20,7,0,14,0,6,0,47
TAMIL NADU,2006,457,718,187,1179,852,1248,0,4641
TRIPURA,2006,189,62,35,207,0,471,0,964
UTTAR PRADESH,2006,1314,2551,1798,2096,2714,5204,0,15677
UTTARAKHAND,2006,147,183,80,153,113,358,0,1034
WEST BENGAL,2006,1731,1199,445,1837,63,7414,1,12690
ANDAMAN & NICOBAR ISLANDS,2006,6,5,0,14,4,7,0,36
CHANDIGARH,2006,19,57,10,20,13,102,0,221
DADRA & NAGAR HAVELI,2006,6,14,1,5,1,5,0,32
DAMAN AND DIU,2006,3,1,0,2,0,2,0,8
LAKSHADWEEP,2006,0,0,0,0,0,1,0,1
PUDUCHERRY,2006,9,13,3,56,39,19,0,139
ANDHRA PRADESH,2007,1070,1564,613,4406,3316,11335,0,22304
ARUNACHAL PRADESH,2007,48,44,0,72,1,20,0,185
ASSAM,2007,1437,1471,100,789,10,3000,0,6807
BIHAR,2007,1555,1260,1172,853,12,1635,56,6543
CHHATTISGARH,2007,982,181,100,1549,111,824,0,3747
GOA,2007,20,7,2,20,7,14,0,70
GUJARAT,2007,316,1089,42,822,120,5827,0,8216
HARYANA,2007,488,554,269,417,409,2412,0,4549
HIMACHAL PRADESH,2007,159,150,8,322,33,342,0,1014
JAMMU & KASHMIR,2007,288,707,9,986,353,176,0,2519
JHARKHAND,2007,855,534,303,342,15,801,0,2850
KARNATAKA,2007,436,390,251,1828,28,2507,0,5440
KERALA,2007,512,177,27,2624,262,3999,0,7601
MADHYA PRADESH,2007,3010,701,742,6772,780,3294,0,15299
MAHARASHTRA,2007,1451,967,436,3306,1039,7356,0,14555
MANIPUR,2007,20,83,0,70,0,15,0,188
MEGHALAYA,2007,82,22,2,45,1,19,0,171
MIZORAM,2007,83,0,0,66,0,2,0,151
NAGALAND,2007,13,6,0,8,1,0,0,28
ODISHA,2007,939,660,461,2775,241,728,0,5804
PUNJAB,2007,519,545,133,427,48,971,0,2643
RAJASTHAN,2007,1238,1694,439,2477,28,8170,0,14046
SIKKIM,2007,24,9,0,13,0,7,0,53
TAMIL NADU,2007,523,1097,208,1540,875,1976,0,6219
TRIPURA,2007,157,81,36,244,4,545,0,1067
UTTAR PRADESH,2007,1648,3363,2076,2522,2882,7650,0,20141
UTTARAKHAND,2007,117,227,70,146,63,463,0,1086
WEST BENGAL,2007,2106,1590,451,2281,99,9900,5,16432
ANDAMAN & NICOBAR ISLANDS,2007,3,9,1,21,2,18,0,54
CHANDIGARH,2007,22,46,1,32,11,112,0,224
DADRA & NAGAR HAVELI,2007,7,6,0,0,0,3,0,16
DAMAN AND DIU,2007,1,1,1,0,0,3,0,6
LAKSHADWEEP,2007,1,0,0,2,0,2,0,5
PUDUCHERRY,2007,9,14,2,89,32,17,0,163
ANDHRA PRADESH,2008,1257,1396,556,4730,3551,10306,0,21796
ARUNACHAL PRADESH,2008,42,47,0,72,1,13,0,175
ASSAM,2008,1438,1789,103,1272,2,3478,0,8082
BIHAR,2008,1302,1789,1210,999,21,1992,22,7335
CHHATTISGARH,2008,978,216,106,1621,125,897,0,3943
GOA,2008,30,28,2,32,12,12,0,116
GUJARAT,2008,374,1119,27,828,122,6094,0,8564
HARYANA,2008,631,644,302,435,605,2435,0,5052
HIMACHAL PRADESH,2008,157,137,3,295,41,343,0,976
JAMMU & KASHMIR,2008,219,656,21,935,296,162,0,2289
JHARKHAND,2008,791,499,266,271,23,851,39,2740
KARNATAKA,2008,446,405,259,1954,44,2638,1,5747
KERALA,2008,568,166,31,2745,258,4138,0,7906
MADHYA PRADESH,2008,2937,736,805,6445,758,3185,0,14866
MAHARASHTRA,2008,1558,998,390,3619,1091,7829,0,15485
MANIPUR,2008,38,87,1,57,0,28,0,211
MEGHALAYA,2008,88,25,2,54,4,32,0,205
MIZORAM,2008,77,1,0,78,0,5,0,161
NAGALAND,2008,19,7,0,15,1,4,0,46
ODISHA,2008,1113,762,401,2782,282,1618,0,6958
PUNJAB,2008,517,514,128,388,49,984,0,2580
RAJASTHAN,2008,1355,1863,439,2520,19,8113,0,14309
SIKKIM,2008,20,4,0,19,0,5,0,48
TAMIL NADU,2008,573,1160,207,1705,974,1648,0,6267
TRIPURA,2008,204,110,16,346,4,735,0,1415
UTTAR PRADESH,2008,1871,4439,2237,2955,3374,8312,0,23188
UTTARAKHAND,2008,87,222,73,120,306,340,0,1148
WEST BENGAL,2008,2263,1907,451,2396,94,13663,5,20779
ANDAMAN & NICOBAR ISLANDS,2008,12,13,2,24,3,26,0,80
CHANDIGARH,2008,20,42,3,19,2,49,0,135
DADRA & NAGAR HAVELI,2008,6,11,0,4,0,4,0,25
DAMAN AND DIU,2008,0,1,0,2,1,5,0,9
LAKSHADWEEP,2008,2,1,0,0,0,1,0,4
PUDUCHERRY,2008,8,9,2,65,21,12,0,117
ANDHRA PRADESH,2009,1188,1526,546,5147,3520,11297,0,23224
ARUNACHAL PRADESH,2009,59,28,0,58,6,13,0,164
ASSAM,2009,1631,2092,170,1342,10,4398,1,9644
BIHAR,2009,929,1986,1295,726,12,2532,31,7511
CHHATTISGARH,2009,976,229,128,1598,152,893,0,3976
GOA,2009,47,22,3,37,10,21,0,140
GUJARAT,2009,433,1162,24,727,114,5506,0,7966
HARYANA,2009,603,659,281,451,605,2617,0,5216
HIMACHAL PRADESH,2009,183,122,1,318,37,284,0,945
JAMMU & KASHMIR,2009,237,825,12,972,371,196,0,2613
JHARKHAND,2009,719,517,295,276,83,710,6,2606
KARNATAKA,2009,509,408,264,2186,64,3185,2,6618
KERALA,2009,568,173,20,2540,395,4007,0,7703
MADHYA PRADESH,2009,2998,841,858,6307,728,3983,1,15716
MAHARASHTRA,2009,1483,926,341,3196,1099,7681,0,14726
MANIPUR,2009,31,97,0,39,2,25,0,194
MEGHALAYA,2009,112,26,0,72,1,24,1,236
MIZORAM,2009,83,0,0,61,1,4,0,149
NAGALAND,2009,22,10,0,11,0,0,0,43
ODISHA,2009,1023,799,384,2697,210,2047,1,7161
PUNJAB,2009,511,513,126,319,33,1061,0,2563
RAJASTHAN,2009,1519,2310,436,2485,24,10371,0,17145
SIKKIM,2009,18,6,0,10,0,6,0,40
TAMIL NADU,2009,596,1133,194,1242,501,1460,0,5126
TRIPURA,2009,190,92,29,384,5,815,0,1515
UTTAR PRADESH,2009,1759,5078,2232,2782,2524,8566,0,22941
UTTARAKHAND,2009,111,247,94,119,249,361,0,1181
WEST BENGAL,2009,2336,2187,506,1942,108,16112,5,23196
ANDAMAN & NICOBAR ISLANDS,2009,18,14,1,30,7,21,0,91
CHANDIGARH,2009,29,36,2,26,2,51,0,146
DADRA & NAGAR HAVELI,2009,4,9,0,2,1,3,0,19
DAMAN AND DIU,2009,1,0,0,4,1,3,0,9
LAKSHADWEEP,2009,1,0,0,0,0,0,0,1
PUDUCHERRY,2009,1,13,0,53,16,10,0,93
ANDHRA PRADESH,2010,1362,1531,588,4634,4562,12080,0,24757
ARUNACHAL PRADESH,2010,47,46,0,84,1,12,0,190
ASSAM,2010,1721,2767,175,1400,20,5410,0,11493
BIHAR,2010,795,2569,1257,534,16,2271,8,7450
CHHATTISGARH,2010,1012,279,115,1706,182,861,2,4157
GOA,2010,36,18,1,36,16,17,0,124
GUJARAT,2010,408,1290,19,668,110,5600,0,8095
HARYANA,2010,720,714,284,476,580,2720,0,5494
HIMACHAL PRADESH,2010,160,162,2,350,78,275,0,1027
JAMMU & KASHMIR,2010,245,840,9,1038,262,211,0,2605
JHARKHAND,2010,773,696,276,245,16,650,8,2664
KARNATAKA,2010,586,586,248,2544,83,3441,0,7488
KERALA,2010,634,184,22,2936,537,4797,0,9110
MADHYA PRADESH,2010,3135,1030,892,6646,918,3756,5,16382
MAHARASHTRA,2010,1599,1124,393,3661,1180,7434,0,15391
MANIPUR,2010,34,107,0,31,0,18,0,190
MEGHALAYA,2010,149,37,0,48,0,24,0,258
MIZORAM,2010,92,0,0,75,0,3,0,170
NAGALAND,2010,16,6,0,13,3,1,0,39
ODISHA,2010,1025,912,388,2905,232,2067,5,7534
PUNJAB,2010,546,576,121,349,38,1163,0,2793
RAJASTHAN,2010,1571,2477,462,2339,23,11145,0,18017
SIKKIM,2010,18,6,1,11,0,3,0,39
TAMIL NADU,2010,686,1464,165,1405,638,1570,0,5928
TRIPURA,2010,238,91,25,376,9,937,0,1676
UTTAR PRADESH,2010,1563,5468,2217,2793,11,7978,0,20030
UTTARAKHAND,2010,121,249,75,125,165,334,0,1069
WEST BENGAL,2010,2311,2764,507,2465,163,17796,8,26014
ANDAMAN & NICOBAR ISLANDS,2010,24,8,0,31,10,9,0,82
CHANDIGARH,2010,31,28,5,29,4,41,0,138
DADRA & NAGAR HAVELI,2010,3,10,0,11,2,3,0,29
DAMAN AND DIU,2010,1,2,0,2,0,3,0,8
LAKSHADWEEP,2010,0,0,0,0,0,0,0,0
PUDUCHERRY,2010,3,14,1,46,22,7,0,93
ANDHRA PRADESH,2011,1442,1612,599,0,3658,13376,497,21184
ARUNACHAL PRADESH,2011,42,60,0,0,0,18,0,120
ASSAM,2011,1700,3192,121,0,8,5246,21,10288
BIHAR,2011,934,3050,1413,0,11,2607,23,8038
CHHATTISGARH,2011,1053,365,104,0,174,834,15,2545
GOA,2011,29,17,1,0,12,18,18,95
GUJARAT,2011,439,1442,30,0,93,6052,46,8102
HARYANA,2011,733,733,255,0,490,2740,57,5008
HIMACHAL PRADESH,2011,168,191,4,0,62,239,2,666
JAMMU & KASHMIR,2011,277,1023,11,0,350,286,1,1948
JHARKHAND,2011,784,660,282,0,7,659,15,2407
KARNATAKA,2011,636,715,267,0,81,3712,351,5762
KERALA,2011,1132,221,15,0,573,5377,197,7515
MADHYA PRADESH,2011,3406,1088,811,0,762,3732,24,9823
MAHARASHTRA,2011,1701,1252,339,0,1071,7136,390,11889
MANIPUR,2011,53,116,1,0,0,39,0,209
MEGHALAYA,2011,130,37,1,0,1,21,2,192
MIZORAM,2011,77,0,0,0,1,9,8,95
NAGALAND,2011,23,3,0,0,0,1,2,29
ODISHA,2011,1112,1008,465,0,235,2320,23,5163
PUNJAB,2011,479,517,143,0,31,1136,50,2356
RAJASTHAN,2011,1800,2713,514,0,9,12218,81,17335
SIKKIM,2011,16,10,0,0,0,4,1,31
TAMIL NADU,2011,677,1743,152,0,464,1812,420,5268
TELANGANA,2011,0,0,0,0,0,0,0,0
TRIPURA,2011,205,116,30,0,9,702,2,1064
UTTAR PRADESH,2011,2042,7525,2322,0,3,7121,43,19056
UTTARAKHAND,2011,129,283,83,0,72,307,3,877
WEST BENGAL,2011,2363,3711,510,0,200,19772,96,26652
ANDAMAN & NICOBAR ISLANDS,2011,13,12,0,0,3,5,3,36
CHANDIGARH,2011,27,46,2,0,12,46,1,134
DADRA & NAGAR HAVELI,2011,4,8,0,0,0,3,1,16
DAMAN AND DIU,2011,1,2,0,0,0,2,6,11
DELHI,2011,572,2085,142,0,162,1575,33,4569
LAKSHADWEEP,2011,0,0,0,0,0,0,0,0
PUDUCHERRY,2011,7,9,1,0,16,10,3,46
ANDHRA PRADESH,2012,1341,1403,504,4816,3714,13389,472,25639
ARUNACHAL PRADESH,2012,46,58,1,67,2,26,1,201
ASSAM,2012,1716,3360,140,1840,5,6407,30,13498
BIHAR,2012,927,3789,1275,118,37,3686,35,9867
CHHATTISGARH,2012,1034,350,81,1601,162,980,5,4213
GOA,2012,55,16,0,49,16,24,40,200
GUJARAT,2012,473,1527,21,745,93,6658,44,9561
HARYANA,2012,668,900,258,525,434,3137,69,5991
HIMACHAL PRADESH,2012,183,152,2,250,68,251,6,912
JAMMU & KASHMIR,2012,303,1041,8,1322,347,301,3,3325
JHARKHAND,2012,812,786,302,284,10,1261,12,3467
KARNATAKA,2012,621,1070,218,2978,100,3684,335,9006
KERALA,2012,1019,214,32,3735,498,5216,210,10924
MADHYA PRADESH,2012,3425,1127,743,6655,774,3988,13,16725
MAHARASHTRA,2012,1839,1140,329,3935,1294,7415,366,16318
MANIPUR,2012,63,133,0,49,1,43,15,304
MEGHALAYA,2012,164,24,1,43,0,16,7,255
MIZORAM,2012,103,3,0,85,0,8,0,199
NAGALAND,2012,21,10,0,16,0,0,4,51
ODISHA,2012,1458,1364,525,4187,304,2638,24,10500
PUNJAB,2012,680,689,118,340,31,1293,86,3237
RAJASTHAN,2012,2049,2697,478,2352,18,13312,99,21005
SIKKIM,2012,34,10,1,19,0,4,0,68
TAMIL NADU,2012,737,1693,110,1494,382,1965,500,6881
TELANGANA,2012,0,0,0,0,0,0,0,0
TRIPURA,2012,229,114,37,314,7,858,0,1559
UTTAR PRADESH,2012,1963,7910,2244,3247,8,7661,31,23064
UTTARAKHAND,2012,148,256,71,139,73,368,12,1067
WEST BENGAL,2012,2046,4168,593,3345,556,19865,109,30682
ANDAMAN & NICOBAR ISLANDS,2012,12,7,2,10,4,5,2,42
CHANDIGARH,2012,27,66,5,45,25,73,0,241
DADRA & NAGAR HAVELI,2012,3,9,0,2,0,0,2,16
DAMAN AND DIU,2012,5,0,0,0,0,3,3,11
DELHI,2012,706,2160,134,727,208,1985,24,5944
LAKSHADWEEP,2012,0,0,0,1,0,1,0,2
PUDUCHERRY,2012,13,16,0,9,2,6,4,50
ANDHRA PRADESH,2013,1635,1595,492,6930,4702,15084,489,30927
ARUNACHAL PRADESH,2013,75,86,0,93,3,29,2,288
ASSAM,2013,1937,4222,170,2409,14,8636,18,17406
BIHAR,2013,1128,4419,1182,331,52,4533,64,11709
CHHATTISGARH,2013,1380,1881,109,2261,180,1181,8,7000
GOA,2013,86,70,0,162,54,40,28,440
GUJARAT,2013,732,2230,29,1243,77,7812,76,12199
HARYANA,2013,971,1957,263,1560,643,3617,63,9074
HIMACHAL PRADESH,2013,250,290,0,493,111,328,4,1476
JAMMU & KASHMIR,2013,378,949,7,1389,354,428,1,3506
JHARKHAND,2013,1204,926,307,524,18,2084,11,5074
KARNATAKA,2013,1030,1359,277,3913,137,3276,340,10332
KERALA,2013,1221,185,21,4362,404,4820,180,11193
MADHYA PRADESH,2013,4335,2873,776,8252,736,4988,22,21982
MAHARASHTRA,2013,3063,1874,320,8132,2632,8542,289,24852
MANIPUR,2013,72,125,0,59,0,29,0,285
MEGHALAYA,2013,183,33,2,98,0,23,4,343
MIZORAM,2013,89,2,0,81,0,5,0,177
NAGALAND,2013,31,11,1,18,1,4,1,67
ODISHA,2013,1832,2067,395,4618,426,2792,27,12157
PUNJAB,2013,888,987,126,1045,67,1741,137,4991
RAJASTHAN,2013,3285,4047,453,4829,25,15094,74,27807
SIKKIM,2013,43,16,0,29,0,5,0,93
TAMIL NADU,2013,923,1516,118,1271,313,2471,549,7161
TELANGANA,2013,0,0,0,0,0,0,0,0
TRIPURA,2013,233,124,29,407,7,827,0,1627
UTTAR PRADESH,2013,3050,9737,2335,7303,25,8781,37,31268
UTTARAKHAND,2013,228,633,43,295,72,435,13,1719
WEST BENGAL,2013,1685,3830,481,4913,577,18116,104,29706
ANDAMAN & NICOBAR ISLANDS,2013,27,12,1,45,8,9,4,106
CHANDIGARH,2013,45,174,1,143,26,92,6,487
DADRA & NAGAR HAVELI,2013,5,11,0,1,1,1,2,21
DAMAN AND DIU,2013,8,6,0,2,0,2,6,24
DELHI,2013,1636,3609,144,3515,916,3033,20,12873
LAKSHADWEEP,2013,2,0,0,1,0,0,0,3
PUDUCHERRY,2013,17,25,1,12,8,8,0,71
ANDHRA PRADESH,2014,961,721,468,4547,1072,6362,204,14335
ARUNACHAL PRADESH,2014,83,91,0,121,21,42,0,358
ASSAM,2014,1980,3895,92,3099,458,9626,29,19179
BIHAR,2014,1127,4735,2203,572,271,4672,31,13611
CHHATTISGARH,2014,1436,1393,8,2122,649,964,2,6574
GOA,2014,95,86,0,202,50,35,9,477
GUJARAT,2014,841,2187,53,1352,405,5991,45,10874
HARYANA,2014,1174,1922,13,1688,599,3478,43,8917
HIMACHAL PRADESH,2014,283,227,2,538,159,325,5,1539
JAMMU & KASHMIR,2014,331,813,1,1421,242,467,1,3276
JHARKHAND,2014,1050,885,1538,440,114,1462,11,5500
